C:\Users\ScHarKa\Desktop\Simulationdata\IMG\center_2017_06_21_18_33_00_134.jpg,C:\Users\ScHarKa\Desktop\Simulationdata\IMG\left_2017_06_21_18_33_00_134.jpg,C:\Users\ScHarKa\Desktop\Simulationdata\IMG\right_2017_06_21_18_33_00_134.jpg,0,1,0,24.63343
C:\Users\ScHarKa\Desktop\Simulationdata\IMG\center_2017_06_21_18_33_00_201.jpg,C:\Users\ScHarKa\Desktop\Simulationdata\IMG\left_2017_06_21_18_33_00_201.jpg,C:\Users\ScHarKa\Desktop\Simulationdata\IMG\right_2017_06_21_18_33_00_201.jpg,0,1,0,25.4014
C:\Users\ScHarKa\Desktop\Simulationdata\IMG\center_2017_06_21_18_33_00_270.jpg,C:\Users\ScHarKa\Desktop\Simulationdata\IMG\left_2017_06_21_18_33_00_270.jpg,C:\Users\ScHarKa\Desktop\Simulationdata\IMG\right_2017_06_21_18_33_00_270.jpg,0,1,0,25.97448
C:\Users\ScHarKa\Desktop\Simulationdata\IMG\center_2017_06_21_18_33_00_337.jpg,C:\Users\ScHarKa\Desktop\Simulationdata\IMG\left_2017_06_21_18_33_00_337.jpg,C:\Users\ScHarKa\Desktop\Simulationdata\IMG\right_2017_06_21_18_33_00_337.jpg,0,1,0,26.73218
C:\Users\ScHarKa\Desktop\Simulationdata\IMG\center_2017_06_21_18_33_00_406.jpg,C:\Users\ScHarKa\Desktop\Simulationdata\IMG\left_2017_06_21_18_33_00_406.jpg,C:\Users\ScHarKa\Desktop\Simulationdata\IMG\right_2017_06_21_18_33_00_406.jpg,0,1,0,27.29712
C:\Users\ScHarKa\Desktop\Simulationdata\IMG\center_2017_06_21_18_33_00_476.jpg,C:\Users\ScHarKa\Desktop\Simulationdata\IMG\left_2017_06_21_18_33_00_476.jpg,C:\Users\ScHarKa\Desktop\Simulationdata\IMG\right_2017_06_21_18_33_00_476.jpg,0,1,0,28.04488
C:\Users\ScHarKa\Desktop\Simulationdata\IMG\center_2017_06_21_18_33_00_546.jpg,C:\Users\ScHarKa\Desktop\Simulationdata\IMG\left_2017_06_21_18_33_00_546.jpg,C:\Users\ScHarKa\Desktop\Simulationdata\IMG\right_2017_06_21_18_33_00_546.jpg,0,1,0,28.60174
C:\Users\ScHarKa\Desktop\Simulationdata\IMG\center_2017_06_21_18_33_00_614.jpg,C:\Users\ScHarKa\Desktop\Simulationdata\IMG\left_2017_06_21_18_33_00_614.jpg,C:\Users\ScHarKa\Desktop\Simulationdata\IMG\right_2017_06_21_18_33_00_614.jpg,-0.15,1,0,29.33001
C:\Users\ScHarKa\Desktop\Simulationdata\IMG\center_2017_06_21_18_33_00_682.jpg,C:\Users\ScHarKa\Desktop\Simulationdata\IMG\left_2017_06_21_18_33_00_682.jpg,C:\Users\ScHarKa\Desktop\Simulationdata\IMG\right_2017_06_21_18_33_00_682.jpg,-0.3,1,0,29.83414
C:\Users\ScHarKa\Desktop\Simulationdata\IMG\center_2017_06_21_18_33_00_753.jpg,C:\Users\ScHarKa\Desktop\Simulationdata\IMG\left_2017_06_21_18_33_00_753.jpg,C:\Users\ScHarKa\Desktop\Simulationdata\IMG\right_2017_06_21_18_33_00_753.jpg,-0.5000001,1,0,30.14503
C:\Users\ScHarKa\Desktop\Simulationdata\IMG\center_2017_06_21_18_33_00_822.jpg,C:\Users\ScHarKa\Desktop\Simulationdata\IMG\left_2017_06_21_18_33_00_822.jpg,C:\Users\ScHarKa\Desktop\Simulationdata\IMG\right_2017_06_21_18_33_00_822.jpg,-0.5612093,1,0,30.1433
C:\Users\ScHarKa\Desktop\Simulationdata\IMG\center_2017_06_21_18_33_00_891.jpg,C:\Users\ScHarKa\Desktop\Simulationdata\IMG\left_2017_06_21_18_33_00_891.jpg,C:\Users\ScHarKa\Desktop\Simulationdata\IMG\right_2017_06_21_18_33_00_891.jpg,-0.3888816,1,0,30.18731
C:\Users\ScHarKa\Desktop\Simulationdata\IMG\center_2017_06_21_18_33_00_958.jpg,C:\Users\ScHarKa\Desktop\Simulationdata\IMG\left_2017_06_21_18_33_00_958.jpg,C:\Users\ScHarKa\Desktop\Simulationdata\IMG\right_2017_06_21_18_33_00_958.jpg,-0.1336311,1,0,30.19357
